Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,5
Sunday,10 AM,27
Sunday,11 AM,23
Sunday,12 PM,12
Sunday,1 PM,27
Sunday,2 PM,19
Sunday,3 PM,20
Sunday,4 PM,31
Sunday,5 PM,20
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,35
Monday,10 AM,50
Monday,11 AM,48
Monday,12 PM,45
Monday,1 PM,43
Monday,2 PM,27
Monday,3 PM,35
Monday,4 PM,30
Monday,5 PM,17
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,54
Tuesday,10 AM,44
Tuesday,11 AM,31
Tuesday,12 PM,10
Tuesday,1 PM,36
Tuesday,2 PM,29
Tuesday,3 PM,27
Tuesday,4 PM,11
Tuesday,5 PM,8
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,41
Wednesday,10 AM,67
Wednesday,11 AM,49
Wednesday,12 PM,48
Wednesday,1 PM,36
Wednesday,2 PM,49
Wednesday,3 PM,40
Wednesday,4 PM,27
Wednesday,5 PM,19
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,43
Thursday,10 AM,58
Thursday,11 AM,66
Thursday,12 PM,84
Thursday,1 PM,68
Thursday,2 PM,62
Thursday,3 PM,62
Thursday,4 PM,68
Thursday,5 PM,32
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,34
Friday,10 AM,57
Friday,11 AM,53
Friday,12 PM,35
Friday,1 PM,26
Friday,2 PM,26
Friday,3 PM,31
Friday,4 PM,12
Friday,5 PM,20
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,21
Saturday,10 AM,17
Saturday,11 AM,17
Saturday,12 PM,24
Saturday,1 PM,24
Saturday,2 PM,29
Saturday,3 PM,30
Saturday,4 PM,17
Saturday,5 PM,25
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
